name,code,pop
Afghanistan,AFG,25198
Albania,ALB,2745
Algeria,DZA,18837
Andorra,AND,803
Angola,AGO,242
Antigua and Barbuda,ATG,65
Argentina,ARG,72575
Armenia,ARM,26665
Australia,AUS,9311
Austria,AUT,18246
Azerbaijan,AZE,23242
Bahamas,BHS,91
Bahrain,BHR,36110
Bangladesh,BGD,125683
Barbados,BRB,94
Belarus,BLR,60492
Belgium,BEL,17452
Belize,BLZ,26
Benin,BEN,1036
Bhutan,BTN,86
Bolivia,BOL,21478
Bosnia and Herzegovina,BIH,4930
Botswana,BWA,63
Brazil,BRA,1846641
Brunei,BRN,138
Bulgaria,BGR,5585
Burkina Faso,BFA,926
Burma,MMR,292
Burundi,BDI,301
Cabo Verde,CPV,1550
Cambodia,KHM,147
Cameroon,CMR,14539
Canada,CAN,0
Central African Republic,CAF,1546
Chad,TCD,810
Chile,CHL,319954
China,CHN,78869
Colombia,COL,131161
Comoros,COM,328
Congo (Brazzaville),COG,829
Congo (Kinshasa),COG,5700
Costa Rica,CRI,3824
Cote d'Ivoire,CIV,10361
Croatia,HRV,3936
Cuba,CUB,2351
Cyprus,CYP,852
Czechia,CZE,11428
Denmark,DNK,12605
Djibouti,DJI,4977
Dominica,DMA,18
Dominican Republic,DOM,30204
Ecuador,ECU,34896
Egypt,EGY,34838
El Salvador,SLV,7778
Equatorial Guinea,GNQ,842
Eritrea,ERI,191
Estonia,EST,1923
Eswatini,SWZ,1025
Ethiopia,ETH,6386
Fiji,FJI,18
Finland,FIN,6920
France,FRA,81212
Gabon,GAB,4682
Gambia,GMB,66
Georgia,GEO,922
Germany,DEU,190314
Ghana,GHA,29801
Greece,GRC,1374
Greenland,GRL,13
Grenada,GRD,23
Guatemala,GTM,32455
Guinea,GIN,6257
Guinea-Bissau,GNB,803
Guyana,GUY,181
Haiti,HTI,4365
Holy See,VAT,12
Honduras,HND,5039
Hungary,HUN,3329
Iceland,ISL,1823
India,IND,951166
Indonesia,IDN,58173
Iran,IRN,255144
Iraq,IRQ,77144
Ireland,IRL,23364
Israel,ISR,27133
Italy,ITA,198593
Jamaica,JAM,714
Japan,JPN,21970
Jordan,JOR,1041
Kazakhstan,KAZ,54404
Kenya,KEN,7833
Kosovo,XXK,4027
Kuwait,KWT,55057
Kyrgyzstan,KGZ,21205
Laos,LAO,19
Latvia,LVA,1045
Lebanon,LBN,1709
Lesotho,LSO,128
Liberia,LBR,646
Libya,LBY,577
Liechtenstein,LIE,81
Lithuania,LTU,1620
Luxembourg,LUX,4825
Madagascar,MDG,6260
Malawi,MWI,1645
Malaysia,MYS,8601
Maldives,MDV,2547
Mali,MLI,1913
Malta,MLT,665
Mauritania,MRT,4653
Mauritius,MUS,332
Mexico,MEX,303810
Moldova,MDA,16154
Monaco,MCO,104
Mongolia,MNG,222
Montenegro,MNE,809
Morocco,MAR,16553
Mozambique,MOZ,0
Namibia,NAM,101
Nepal,NPL,13754
Netherlands,NLD,189
New Zealand,NZL,1514
Nicaragua,NIC,2492
Niger,NER,1027
Nigeria,NGA,18203
North Macedonia,MKD,5564
Norway,NOR,8752
Oman,OMN,57028
Pakistan,PAK,241026
Panama,PAN,35086
Papua New Guinea,PNG,11
Paraguay,PRY,2905
Peru,PER,272547
Philippines,PHL,26446
Poland,POL,32856
Portugal,PRT,35375
Qatar,QAT,106328
Romania,ROU,25794
Russia,RUS,602249
Rwanda,RWA,975
Saint Kitts and Nevis,KNA,15
Saint Lucia,LCA,22
Saint Vincent and the Grenadines,VCT,39
San Marino,SMR,657
Sao Tome and Principe,STP,734
Saudi Arabia,SAU,222936
Senegal,SEN,6477
Serbia,SRB,0
Seychelles,SYC,39
Sierra Leone,SLE,1317
Singapore,SGP,45692
Slovakia,SVK,1616
Slovenia,SVN,1733
Somalia,SOM,1543
South Africa,ZAF,274925
South Korea,PRK,13007
South Sudan,SDN,1175
Spain,ESP,150376
Sri Lanka,LKA,2121
Sudan,SDN,5939
Suriname,SUR,925
Sweden,SWE,0
Switzerland,CHE,30900
Syria,SYR,0
Taiwan*,TWN,440
Tajikistan,TJK,6028
Tanzania,TZA,183
Thailand,THA,3111
Timor-Leste,TLS,0
Togo,TGO,607
Trinidad and Tobago,TTO,128
Tunisia,TUN,1157
Turkey,TUR,210469
US,USA,1325804
Uganda,UGA,986
Ukraine,UKR,37202
United Arab Emirates,ARE,52510
United Kingdom,GBR,1437
Uruguay,URY,951
Uzbekistan,UZB,11674
Venezuela,VEN,9959
Vietnam,VNM,365
West Bank and Gaza,PSE,3752
Western Sahara,ESH,8
Yemen,YEM,833
Zambia,ZMB,2815
Zimbabwe,ZWE,542
